date,ratingScore,reviewTitle,reviewDescription,texto_completo,texto_limpo,sentimento,palavra_chave,variant,country
06-02-2022,5,Truly worth the money spent! Even if you go broke!,"My honest review after going broke buying this depreciating object.I have been using android phones since the last 10 years and finally decided to switch to iPhone! I used to roast iPhone for its prices, lack of features and also things like power adapter not given in box etc, but my last android phone (iqoo 7 legend) had lot of software related issues and battery issues after updating it to android 12, tired of bugs and software glitches in android, I finally decided to buy a iPhone and switch from android to iOS And Boy Was I right!I never even held an iPhone In my life before because of its price, but now I made a great choice even if I had to spend all my savings on it.iPhone 13 is so smooth that even my IQOO 7 Legend with 120hz feels slower than it even if iPhone has only 60hz. And I can’t believe what I’m seeing, all the games/apps are so much smoother and optimised than on android.I was very sceptical about the charging speed of an iPhone Because in Iqoo I had 66w fast charger where as for iPhone I had to buy 20w separate fast charger for 1800rs, but charging speed isn’t disappointing.Display quality is truly flagship level and I’m quite a fan of the small 6.1 display believe it or not, being able to reach the top of display with just one hand is very helpful, Build quality is great.I would recommend NOT to waste extra 40k for buying 13 pro. Because I don’t think having a extra camera telephoto lens is worth spending 40k.You can see in the 3rd image attached the quality of wide angle camera pic shot on my iPhone 13, wide angle camera struggles in low light, but main camera is really good, captures true colours. Front camera is really good too, truly flagship.Speakers are Great.Battery life is better than my previous devices,iOS is very optimised in terms of battery life, easy 8hrs sot on normal usage.NOTE : While playing BGMI you loose around 2% battery every 6minutes at HD + Extreme Graphics. Which is also good. Pro Max Would Be far better in terms of battery.For the software? Yes I feel like there are few downsides, even if the software is very smooth and has very less bugs, it has two annoying things : any game gets paused when you open control centre just to check the battery etc, Lock Screen is annoying and also having to reach the top left corner just to see notifications is also annoying, clearing all notifications is also very annoying.But other than that a perfect 10/10 purchase. I was very disappointed at myself when I paid for the iPhone but when I received it I was truly happy that I bought it.Truly worth it.","Truly worth the money spent! Even if you go broke! My honest review after going broke buying this depreciating object.I have been using android phones since the last 10 years and finally decided to switch to iPhone! I used to roast iPhone for its prices, lack of features and also things like power adapter not given in box etc, but my last android phone (iqoo 7 legend) had lot of software related issues and battery issues after updating it to android 12, tired of bugs and software glitches in android, I finally decided to buy a iPhone and switch from android to iOS And Boy Was I right!I never even held an iPhone In my life before because of its price, but now I made a great choice even if I had to spend all my savings on it.iPhone 13 is so smooth that even my IQOO 7 Legend with 120hz feels slower than it even if iPhone has only 60hz. And I can’t believe what I’m seeing, all the games/apps are so much smoother and optimised than on android.I was very sceptical about the charging speed of an iPhone Because in Iqoo I had 66w fast charger where as for iPhone I had to buy 20w separate fast charger for 1800rs, but charging speed isn’t disappointing.Display quality is truly flagship level and I’m quite a fan of the small 6.1 display believe it or not, being able to reach the top of display with just one hand is very helpful, Build quality is great.I would recommend NOT to waste extra 40k for buying 13 pro. Because I don’t think having a extra camera telephoto lens is worth spending 40k.You can see in the 3rd image attached the quality of wide angle camera pic shot on my iPhone 13, wide angle camera struggles in low light, but main camera is really good, captures true colours. Front camera is really good too, truly flagship.Speakers are Great.Battery life is better than my previous devices,iOS is very optimised in terms of battery life, easy 8hrs sot on normal usage.NOTE : While playing BGMI you loose around 2% battery every 6minutes at HD + Extreme Graphics. Which is also good. Pro Max Would Be far better in terms of battery.For the software? Yes I feel like there are few downsides, even if the software is very smooth and has very less bugs, it has two annoying things : any game gets paused when you open control centre just to check the battery etc, Lock Screen is annoying and also having to reach the top left corner just to see notifications is also annoying, clearing all notifications is also very annoying.But other than that a perfect 10/10 purchase. I was very disappointed at myself when I paid for the iPhone but when I received it I was truly happy that I bought it.Truly worth it.",truly worth the money spent even if you go broke my honest review after going broke buying this depreciating objecti have been using android phones since the last 10 years and finally decided to switch to iphone i used to roast iphone for its prices lack of features and also things like power adapter not given in box etc but my last android phone iqoo 7 legend had lot of software related issues and battery issues after updating it to android 12 tired of bugs and software glitches in android i finally decided to buy a iphone and switch from android to ios and boy was i righti never even held an iphone in my life before because of its price but now i made a great choice even if i had to spend all my savings on itiphone 13 is so smooth that even my iqoo 7 legend with 120hz feels slower than it even if iphone has only 60hz and i cant believe what im seeing all the gamesapps are so much smoother and optimised than on androidi was very sceptical about the charging speed of an iphone because in iqoo i had 66w fast charger where as for iphone i had to buy 20w separate fast charger for 1800rs but charging speed isnt disappointingdisplay quality is truly flagship level and im quite a fan of the small 61 display believe it or not being able to reach the top of display with just one hand is very helpful build quality is greati would recommend not to waste extra 40k for buying 13 pro because i dont think having a extra camera telephoto lens is worth spending 40kyou can see in the 3rd image attached the quality of wide angle camera pic shot on my iphone 13 wide angle camera struggles in low light but main camera is really good captures true colours front camera is really good too truly flagshipspeakers are greatbattery life is better than my previous devicesios is very optimised in terms of battery life easy 8hrs sot on normal usagenote  while playing bgmi you loose around 2 battery every 6minutes at hd  extreme graphics which is also good pro max would be far better in terms of batteryfor the software yes i feel like there are few downsides even if the software is very smooth and has very less bugs it has two annoying things  any game gets paused when you open control centre just to check the battery etc lock screen is annoying and also having to reach the top left corner just to see notifications is also annoying clearing all notifications is also very annoyingbut other than that a perfect 1010 purchase i was very disappointed at myself when i paid for the iphone but when i received it i was truly happy that i bought ittruly worth it,positivo,"truly, worth, money, spent, even, go, broke, honest, review, going, broke, buying, depreciating, objecti, using, android, phones, since, last, years, finally, decided, switch, iphone, used, roast, iphone, prices, lack, features, also, things, like, power, adapter, given, box, etc, last, android, phone, iqoo, legend, lot, software, related, issues, battery, issues, updating, android, tired, bugs, software, glitches, android, finally, decided, buy, iphone, switch, android, ios, boy, righti, never, even, held, iphone, life, price, made, great, choice, even, spend, savings, itiphone, smooth, even, iqoo, legend, feels, slower, even, iphone, cant, believe, im, seeing, gamesapps, much, smoother, optimised, androidi, sceptical, charging, speed, iphone, iqoo, fast, charger, iphone, buy, separate, fast, charger, charging, speed, isnt, disappointingdisplay, quality, truly, flagship, level, im, quite, fan, small, display, believe, able, reach, top, display, one, hand, helpful, build, quality, greati, would, recommend, waste, extra, buying, pro, dont, think, extra, camera, telephoto, lens, worth, spending, see, image, attached, quality, wide, angle, camera, pic, shot, iphone, wide, angle, camera, struggles, low, light, main, camera, really, good, captures, true, colours, front, camera, really, good, truly, flagshipspeakers, greatbattery, life, better, previous, devicesios, optimised, terms, battery, life, easy, sot, normal, usagenote, playing, bgmi, loose, around, battery, every, hd, extreme, graphics, also, good, pro, max, would, far, better, terms, batteryfor, software, yes, feel, like, downsides, even, software, smooth, less, bugs, two, annoying, things, game, gets, paused, open, control, centre, check, battery, etc, lock, screen, annoying, also, reach, top, left, corner, see, notifications, also, annoying, clearing, notifications, also, annoyingbut, perfect, purchase, disappointed, paid, iphone, received, truly, happy, bought, ittruly, worth",Colour: PinkSize: 256 GB,India
06-07-2024,5,I love it,Nice,I love it Nice,i love it nice,positivo,"love, nice",Colour: PinkSize: 256 GB,India
18-05-2024,5,It’s a legit iPhone,It’s a perfect iPhone I highly recommend this seller . Great price on their sale. The phone is good,It’s a legit iPhone It’s a perfect iPhone I highly recommend this seller . Great price on their sale. The phone is good,its a legit iphone its a perfect iphone i highly recommend this seller  great price on their sale the phone is good,positivo,"legit, iphone, perfect, iphone, highly, recommend, seller, great, price, sale, phone, good",Colour: PinkSize: 256 GB,India
11-03-2024,5,Worth every penny,What I like about this phone is that it is quite reasonable comparing other iphones and Is very good and nice to use.,Worth every penny What I like about this phone is that it is quite reasonable comparing other iphones and Is very good and nice to use.,worth every penny what i like about this phone is that it is quite reasonable comparing other iphones and is very good and nice to use,positivo,"worth, every, penny, like, phone, quite, reasonable, comparing, iphones, good, nice, use",Colour: PinkSize: 256 GB,India
12-10-2023,4,Nice.,I bought the product little expensive. Within a month price dropped by Rs.17000.,Nice. I bought the product little expensive. Within a month price dropped by Rs.17000.,nice i bought the product little expensive within a month price dropped by rs17000,positivo,"nice, bought, product, little, expensive, within, month, price, dropped",Colour: PinkSize: 256 GB,India
11-03-2022,5,Worth the product,"Though we talk a lot about high price for iPhones, this is worth the amount. Smooth touch, perfect to hold in hand. For the screen size of 6.1"", it looks small overall. I could have gone for pro max but more than 1.5L budget is way too much for me :-)* Good battery back-up (With low battery mode always on, 5 hours of talk-time, around 2 hours of twitter and 2 hours of whatsapp usage, 1 hour of songs listening, 1 hour of rummy/candy crush games and notification of all these items, the battery comes for more than 24 hours for me)* Getting charged quickly from 20% to 100% within 2 hours* Perfect camera and I love that 'Live' photo option* Body design is awesome. When I held it in my hand for the first time, felt really happy about the design and the size of the iPhone 13.","Worth the product Though we talk a lot about high price for iPhones, this is worth the amount. Smooth touch, perfect to hold in hand. For the screen size of 6.1"", it looks small overall. I could have gone for pro max but more than 1.5L budget is way too much for me :-)* Good battery back-up (With low battery mode always on, 5 hours of talk-time, around 2 hours of twitter and 2 hours of whatsapp usage, 1 hour of songs listening, 1 hour of rummy/candy crush games and notification of all these items, the battery comes for more than 24 hours for me)* Getting charged quickly from 20% to 100% within 2 hours* Perfect camera and I love that 'Live' photo option* Body design is awesome. When I held it in my hand for the first time, felt really happy about the design and the size of the iPhone 13.",worth the product though we talk a lot about high price for iphones this is worth the amount smooth touch perfect to hold in hand for the screen size of 61 it looks small overall i could have gone for pro max but more than 15l budget is way too much for me  good battery backup with low battery mode always on 5 hours of talktime around 2 hours of twitter and 2 hours of whatsapp usage 1 hour of songs listening 1 hour of rummycandy crush games and notification of all these items the battery comes for more than 24 hours for me getting charged quickly from 20 to 100 within 2 hours perfect camera and i love that live photo option body design is awesome when i held it in my hand for the first time felt really happy about the design and the size of the iphone 13,positivo,"worth, product, though, talk, lot, high, price, iphones, worth, amount, smooth, touch, perfect, hold, hand, screen, size, looks, small, overall, could, gone, pro, max, budget, way, much, good, battery, backup, low, battery, mode, always, hours, talktime, around, hours, twitter, hours, whatsapp, usage, hour, songs, listening, hour, rummycandy, crush, games, notification, items, battery, comes, hours, getting, charged, quickly, within, hours, perfect, camera, love, live, photo, option, body, design, awesome, held, hand, first, time, felt, really, happy, design, size, iphone",Colour: PinkSize: 256 GB,India
31-10-2023,3,It's been a week since I've been using this phone,Works just fine nothing special the camera is also good but during night it's not what I expected it to be and you have to charge the phone twice if you use it a lot it also heat sometimes it it doesn't like but sometimes it doesn't feel very smooth I don't know if it's value for money,It's been a week since I've been using this phone Works just fine nothing special the camera is also good but during night it's not what I expected it to be and you have to charge the phone twice if you use it a lot it also heat sometimes it it doesn't like but sometimes it doesn't feel very smooth I don't know if it's value for money,its been a week since ive been using this phone works just fine nothing special the camera is also good but during night its not what i expected it to be and you have to charge the phone twice if you use it a lot it also heat sometimes it it doesnt like but sometimes it doesnt feel very smooth i dont know if its value for money,positivo,"week, since, ive, using, phone, works, fine, nothing, special, camera, also, good, night, expected, charge, phone, twice, use, lot, also, heat, sometimes, doesnt, like, sometimes, doesnt, feel, smooth, dont, know, value, money",Colour: PinkSize: 256 GB,India
29-11-2023,5,Great,Loved it,Great Loved it,great loved it,positivo,"great, loved",Colour: PinkSize: 256 GB,India
08-09-2022,5,Same as shown in pictures,There’s no same day delivery Phone was delivered to me in 3-4 days. I had to purchase  the phone thrice so on the third attempt I finally received the phone. Battery life is better than iPhone XR. Phone is same as shown in pictures. Amazon refund policy is good. I received both refunds within 24 hours.,Same as shown in pictures There’s no same day delivery Phone was delivered to me in 3-4 days. I had to purchase  the phone thrice so on the third attempt I finally received the phone. Battery life is better than iPhone XR. Phone is same as shown in pictures. Amazon refund policy is good. I received both refunds within 24 hours.,same as shown in pictures theres no same day delivery phone was delivered to me in 34 days i had to purchase  the phone thrice so on the third attempt i finally received the phone battery life is better than iphone xr phone is same as shown in pictures amazon refund policy is good i received both refunds within 24 hours,positivo,"shown, pictures, theres, day, delivery, phone, delivered, days, purchase, phone, thrice, third, attempt, finally, received, phone, battery, life, better, iphone, xr, phone, shown, pictures, amazon, refund, policy, good, received, refunds, within, hours",Colour: PinkSize: 256 GB,India
14-02-2024,2,My device is not working need help,My device is not working (switched off)Iam not able to download Invoice and warranty documentHow can I get itService center asking the document,My device is not working need help My device is not working (switched off)Iam not able to download Invoice and warranty documentHow can I get itService center asking the document,my device is not working need help my device is not working switched offiam not able to download invoice and warranty documenthow can i get itservice center asking the document,negativo,"device, working, need, help, device, working, switched, offiam, able, download, invoice, warranty, documenthow, get, itservice, center, asking, document",Colour: PinkSize: 256 GB,India
06-08-2024,5,Its the best,Best,Its the best Best,its the best best,positivo,"best, best",Colour: BlueSize: 256 GB,India
25-06-2024,3,Not worth,Not worth,Not worth Not worth,not worth not worth,neutro,"worth, worth",Colour: BlueSize: 256 GB,India
12-05-2024,3,Improved version of iPhone 11,Nothing new features only model changed,Improved version of iPhone 11 Nothing new features only model changed,improved version of iphone 11 nothing new features only model changed,positivo,"improved, version, iphone, nothing, new, features, model, changed",Colour: BlueSize: 256 GB,India
21-07-2024,2,Doubtful,Seals were teared but only stricker was put. I don't know whether it is new or refurbished but it's working 😕😕😕.,Doubtful Seals were teared but only stricker was put. I don't know whether it is new or refurbished but it's working 😕😕😕.,doubtful seals were teared but only stricker was put i dont know whether it is new or refurbished but its working ,negativo,"doubtful, seals, teared, stricker, put, dont, know, whether, new, refurbished, working",Colour: BlueSize: 256 GB,India
04-11-2023,5,Amazing and Best value for money Iphone,"This phone has well balanced HD oled sDisplay. Colours are accurate. Camera quality is very good even with 12 MP cameras. Selfies and portrait look good, but selfies indoor required little improvement which can be done through software. Battery back up is great. Faster transfer using Airdrop. I am getting a 1 and half day of battery backup with normal usage. Overall a perfect smartphone with ios experience.","Amazing and Best value for money Iphone This phone has well balanced HD oled sDisplay. Colours are accurate. Camera quality is very good even with 12 MP cameras. Selfies and portrait look good, but selfies indoor required little improvement which can be done through software. Battery back up is great. Faster transfer using Airdrop. I am getting a 1 and half day of battery backup with normal usage. Overall a perfect smartphone with ios experience.",amazing and best value for money iphone this phone has well balanced hd oled sdisplay colours are accurate camera quality is very good even with 12 mp cameras selfies and portrait look good but selfies indoor required little improvement which can be done through software battery back up is great faster transfer using airdrop i am getting a 1 and half day of battery backup with normal usage overall a perfect smartphone with ios experience,positivo,"amazing, best, value, money, iphone, phone, well, balanced, hd, oled, sdisplay, colours, accurate, camera, quality, good, even, mp, cameras, selfies, portrait, look, good, selfies, indoor, required, little, improvement, done, software, battery, back, great, faster, transfer, using, airdrop, getting, half, day, battery, backup, normal, usage, overall, perfect, smartphone, ios, experience",Colour: BlueSize: 256 GB,India
15-02-2024,5,Good,Good not like android,Good Good not like android,good good not like android,positivo,"good, good, like, android",Colour: BlueSize: 256 GB,India
07-08-2024,4,Camera is impressive but i am not happy with battery's,,Camera is impressive but i am not happy with battery's ,camera is impressive but i am not happy with batterys ,negativo,"camera, impressive, happy, batterys",Colour: BlueSize: 256 GB,India
24-01-2024,5,Supar mobile phone,Good charge,Supar mobile phone Good charge,supar mobile phone good charge,positivo,"supar, mobile, phone, good, charge",Colour: BlueSize: 256 GB,India
07-04-2022,4,Good but it’s not recommended to all,Actually I’m android user now switched to iPhone user experience is good but camera quality isn’t meet my expectations when taken photos on day times and little low lights you’ll get good quality photos. Night mode is worst. Battery is good for moderate users. Phone is very compact and display quality really awesome. My conclusion if you looking for privacy and protect from hackers definitely iPhone is safe. Those who are all moderate user and then buy this model,Good but it’s not recommended to all Actually I’m android user now switched to iPhone user experience is good but camera quality isn’t meet my expectations when taken photos on day times and little low lights you’ll get good quality photos. Night mode is worst. Battery is good for moderate users. Phone is very compact and display quality really awesome. My conclusion if you looking for privacy and protect from hackers definitely iPhone is safe. Those who are all moderate user and then buy this model,good but its not recommended to all actually im android user now switched to iphone user experience is good but camera quality isnt meet my expectations when taken photos on day times and little low lights youll get good quality photos night mode is worst battery is good for moderate users phone is very compact and display quality really awesome my conclusion if you looking for privacy and protect from hackers definitely iphone is safe those who are all moderate user and then buy this model,positivo,"good, recommended, actually, im, android, user, switched, iphone, user, experience, good, camera, quality, isnt, meet, expectations, taken, photos, day, times, little, low, lights, youll, get, good, quality, photos, night, mode, worst, battery, good, moderate, users, phone, compact, display, quality, really, awesome, conclusion, looking, privacy, protect, hackers, definitely, iphone, safe, moderate, user, buy, model",Colour: BlueSize: 256 GB,India
10-12-2023,5,Good,Very good I am happy,Good Very good I am happy,good very good i am happy,positivo,"good, good, happy",Colour: BlueSize: 256 GB,India
10-08-2024,4,Good,Works fine,Good Works fine,good works fine,positivo,"good, works, fine",Colour: GreenSize: 256 GB,India
18-07-2024,4,Good,Cool,Good Cool,good cool,positivo,"good, cool",Colour: GreenSize: 256 GB,India
22-08-2024,5,Apple phone,"As it is an apple product, quality is ensured and proven","Apple phone As it is an apple product, quality is ensured and proven",apple phone as it is an apple product quality is ensured and proven,neutro,"apple, phone, apple, product, quality, ensured, proven",Colour: GreenSize: 256 GB,India
07-07-2024,5,Dear Apple,My phone was bent for some reason. So kindly infirm check my warrenty period. Get me feedback,Dear Apple My phone was bent for some reason. So kindly infirm check my warrenty period. Get me feedback,dear apple my phone was bent for some reason so kindly infirm check my warrenty period get me feedback,positivo,"dear, apple, phone, bent, reason, kindly, infirm, check, warrenty, period, get, feedback",Colour: GreenSize: 256 GB,India
01-06-2024,5,excellent,fine,excellent fine,excellent fine,positivo,"excellent, fine",Colour: GreenSize: 256 GB,India
11-10-2023,5,It's good for content creation,"I mainly bought it for content creation because the software optimization was good and also because I use macbook air so data transfer between iphone is quicker than the android one, basically less hassle.Love the photo and video quality.It's also mostly for work than personal use. Customization is a bit hard but I also use android as primary phone so not an issue for me.Overall a good purchase for me.","It's good for content creation I mainly bought it for content creation because the software optimization was good and also because I use macbook air so data transfer between iphone is quicker than the android one, basically less hassle.Love the photo and video quality.It's also mostly for work than personal use. Customization is a bit hard but I also use android as primary phone so not an issue for me.Overall a good purchase for me.",its good for content creation i mainly bought it for content creation because the software optimization was good and also because i use macbook air so data transfer between iphone is quicker than the android one basically less hasslelove the photo and video qualityits also mostly for work than personal use customization is a bit hard but i also use android as primary phone so not an issue for meoverall a good purchase for me,positivo,"good, content, creation, mainly, bought, content, creation, software, optimization, good, also, use, macbook, air, data, transfer, iphone, quicker, android, one, basically, less, hasslelove, photo, video, qualityits, also, mostly, work, personal, use, customization, bit, hard, also, use, android, primary, phone, issue, meoverall, good, purchase",Colour: GreenSize: 256 GB,India
02-07-2024,2,No airdrop and personal hotspot .,"I bought this iPhone 13 . There was a manufacturing defect as this phone doesn’tHave  personal hotspot and Airdrop . It’s blocked , not turning on . Deception . I can’t afford this . I am now in foreign , my friend bought this iPhone . I am not in a position even to return this iPhone .","No airdrop and personal hotspot . I bought this iPhone 13 . There was a manufacturing defect as this phone doesn’tHave  personal hotspot and Airdrop . It’s blocked , not turning on . Deception . I can’t afford this . I am now in foreign , my friend bought this iPhone . I am not in a position even to return this iPhone .",no airdrop and personal hotspot  i bought this iphone 13  there was a manufacturing defect as this phone doesnthave  personal hotspot and airdrop  its blocked  not turning on  deception  i cant afford this  i am now in foreign  my friend bought this iphone  i am not in a position even to return this iphone ,neutro,"airdrop, personal, hotspot, bought, iphone, manufacturing, defect, phone, doesnthave, personal, hotspot, airdrop, blocked, turning, deception, cant, afford, foreign, friend, bought, iphone, position, even, return, iphone",Colour: GreenSize: 256 GB,India
29-10-2023,4,Bawal chij hai be..😀,,Bawal chij hai be..😀 ,bawal chij hai be ,neutro,"bawal, chij, hai",Colour: GreenSize: 256 GB,India
29-11-2023,5,Amazing phone,I received iPhone 13 timely.Product is working great.It improved my lifestyle  as  well.Camera quality is awesome. Battery performance is pretty good.Thanks to Amazon for your great service.,Amazing phone I received iPhone 13 timely.Product is working great.It improved my lifestyle  as  well.Camera quality is awesome. Battery performance is pretty good.Thanks to Amazon for your great service.,amazing phone i received iphone 13 timelyproduct is working greatit improved my lifestyle  as  wellcamera quality is awesome battery performance is pretty goodthanks to amazon for your great service,positivo,"amazing, phone, received, iphone, timelyproduct, working, greatit, improved, lifestyle, wellcamera, quality, awesome, battery, performance, pretty, goodthanks, amazon, great, service",Colour: GreenSize: 256 GB,India
06-11-2023,3,"Not that great deal. Battery performance, heating,hanging","Facing heating issue, Battery performance is not that good. On screen 12 hrs only as of now. Hanging in between, which we didn’t expect from Apple. Look is fantastic. Small while compared to XR.","Not that great deal. Battery performance, heating,hanging Facing heating issue, Battery performance is not that good. On screen 12 hrs only as of now. Hanging in between, which we didn’t expect from Apple. Look is fantastic. Small while compared to XR.",not that great deal battery performance heatinghanging facing heating issue battery performance is not that good on screen 12 hrs only as of now hanging in between which we didnt expect from apple look is fantastic small while compared to xr,negativo,"great, deal, battery, performance, heatinghanging, facing, heating, issue, battery, performance, good, screen, hrs, hanging, didnt, expect, apple, look, fantastic, small, compared, xr",Colour: GreenSize: 256 GB,India
